scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
104_6731_5_11	26601	2043826	2	2
253_14566_4_24	29685	2015711	5	5
84_6807_1_12	51726	2037267	20	19
151_6259_7_20	32616	2031191	7	7
356_12837_2_32	20449	2172634	11	11
406_6972_2_22	54022	2036654	15	14
81_17150_4_6	51979	2146234	25	23
443_14520_6_39	25330	2134328	6	6
486_16288_6_22	32593	2021583	8	7
357_13091_6_13	35598	2035343	8	5
447_14555_4_27	35672	2055885	6	5
446_14555_4_13	28151	1951092	18	18
201_17870_7_93	29542	2045620	9	9
39_10071_4_9	25001	2039509	4	4
290_22667_8_48	21342	2122285	2	1
133_13470_1_77	25681	2158344	6	5
318_6680_8_5	28265	2015190	6	5
594_11861_1_47	24814	2085950	8	5
289_21999_7_133	28664	2183337	4	3
101_16288_6_5	28804	2001996	12	12
401_6631_3_12	34513	2124213	9	6
407_10395_5_18	21870	2098465	8	4
469_15873_1_34	25999	2054887	4	4
66_6631_1_22	19174	1641861	17	16
72_15873_4_65	27139	2042662	3	2
411_10395_5_55	27097	2087140	6	4
15_10071_4_42	28775	1973393	6	6
513_17150_4_72	26263	2189571	10	9
285_16399_6_42	30225	2189609	9	9
335_16288_7_45	26227	2005218	0	0
492_16288_7_55	30080	2052748	3	3
372_16288_4_19	29749	1999717	6	5
219_16399_7_6	26127	2020400	6	5
569_21053_8_162	38241	2190843	10	8
616_6841_7_2	44706	1970001	13	10
537_18456_1_31	28990	2116937	9	8
67_11861_5_61	25207	2012550	9	6
304_14723_4_81	28819	2075470	5	5
64_18090_2_111	26664	2118511	8	8
181_12378_2_50	28274	2145899	10	7
46_22695_3_161	28375	2076121	6	6
254_15995_2_63	31676	2142295	17	16
185_22027_1_119	24168	2137567	11	11
231_21999_7_183	25771	2094671	6	5
35_11861_1_91	26483	2026081	7	6
579_9789_3_70	27636	2096572	5	4
225_16288_7_69	32920	2026734	7	7
40_6736_5_15	29362	2052618	6	2
200_17150_4_89	29054	2054339	9	5
445_14555_3_68	30390	2031721	14	14
400_6631_2_16	29037	2094870	5	5
305_17150_5_58	28230	2123593	8	3
192_18090_5_36	25383	2171358	6	2
164_15531_4_83	30248	2133636	10	9
165_6259_5_10	33179	2017875	5	1
148_15378_4_35	48221	2091193	21	21
550_19183_3_6	39769	2092026	13	10
324_14673_2_51	25012	1992290	5	3
326_12291_1_36	27776	2066910	1	1
32_11860_7_64	26977	1996669	8	8
281_9789_4_37	24328	2078339	8	8
437_14410_7_80	27171	2071667	11	8
113_22841_3_34	27420	2096108	8	8
161_15378_3_10	26418	2138262	3	3
137_14566_4_23	28383	2002370	6	3
193_14410_5_66	36333	2108517	16	10
155_14555_3_8	32673	2023334	8	7
323_11658_2_89	27977	2061406	7	6
454_14723_2_4	27084	2016115	5	4
527_17966_5_78	29810	2127100	6	6
190_15378_3_12	26173	2193755	6	6
273_11860_7_5	26754	2019747	6	6
367_15378_4_63	29239	2080848	6	5
171_14410_8_19	29089	2166866	19	18
601_6999_4_13	27493	2030361	6	5
530_18090_1_68	26086	2149760	4	4
604_6259_7_15	38830	2130049	6	5
260_16288_5_50	30151	2033359	1	1
272_17870_7_62	34703	2097076	6	6
209_17138_5_38	32934	2112165	4	3
250_11861_1_59	27301	2077170	0	0
10_22027_1_37	29831	2087395	10	10
598_10050_2_45	22973	2137677	5	4
468_15841_5_8	19572	2041420	11	8
73_6631_4_21	30414	1960050	14	14
378_17794_8_142	23253	2184066	5	3
433_14410_6_68	26714	2081078	8	5
114_17150_5_18	21270	2114890	5	4
584_22841_4_145	23407	2104726	4	4
415_12290_3_2	32950	2112557	12	12
413_11658_1_89	21309	2192939	8	7
553_19341_3_39	34866	2132663	12	8
544_19084_7_50	37995	2129279	12	10
152_24775_1_83	40855	2104413	15	13
63_6680_6_14	33644	2090176	9	7
329_15731_8_86	25070	2118613	2	2
310_22027_1_41	25278	2011972	11	6
202_9789_5_86	27500	2056465	4	3
205_12837_5_80	41766	2126997	19	18
483_16288_4_80	36658	2024458	5	5
78_14520_7_15	35106	2077572	23	10
575_21999_7_130	24786	2029113	4	4
138_7011_3_5	33809	2104472	9	6
611_6807_3_15	61234	2023642	15	14
19_7553_4_32	27299	2039834	5	5
106_6710_8_19	34463	2113766	16	13
574_21999_7_109	26996	2143870	6	4
125_12837_1_13	22557	2111599	1	0
559_20925_3_2	38519	2222840	3	3
88_14520_5_11	30697	2051474	7	7
416_12291_1_71	25863	2046663	10	10
403_6714_7_10	34755	2051345	28	28
232_15531_6_9	36561	1981189	11	8
21_13470_1_90	46291	2143051	20	16
245_14723_2_5	176447	2024819	22	19
169_17150_6_14	28033	2073605	2	2
515_17150_6_23	24949	2178835	2	2
188_6807_3_17	32295	2084761	13	9
449_14566_5_8	27869	2069662	2	2
404_6755_2_5	33633	1862676	43	43
571_21127_1_165	31356	2182596	12	9
174_7054_5_2	27738	2065219	10	9
605_6631_3_9	42029	2130759	2	2
307_16288_6_15	30585	2106970	3	3
119_14673_1_59	24412	2089214	4	4
405_6823_4_8	43111	2095779	7	6
414_11679_1_83	27933	2113609	3	3
352_12291_6_20	24616	2066806	13	6
123_17794_8_71	30385	2004925	6	5
514_17150_5_52	26561	2100774	1	1
61_12837_2_16	23626	2005270	7	2
26_14410_4_34	33862	2089888	10	10
154_6680_4_17	28876	2016866	4	2
124_11893_1_88	31626	2079291	17	16
482_16288_4_45	42256	2060206	7	6
