scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
605_6631_3_9	102092	2131395	14	13
332_17794_8_185	88754	2104792	10	10
602_6259_5_19	68751	2030185	7	6
126_17059_7_71	70942	2066832	7	7
45_7038_7_14	64906	1953757	6	6
131_13154_2_74	74038	1997606	7	6
168_14913_2_82	126064	2091089	12	12
184_15841_2_93	75947	2099126	6	5
498_16288_8_25	86696	2029246	4	3
121_14520_4_19	81831	2141433	7	7
81_17150_4_6	99159	2145083	22	22
447_14555_4_27	100353	2059286	10	10
485_16288_5_29	92402	2123517	16	16
424_12837_3_13	72637	2198058	4	4
149_6259_7_5	64857	1982023	8	8
488_16288_6_7	74828	1983463	3	2
4_21903_8_266	74619	2057164	4	4
373_16288_4_57	109071	2126515	16	16
236_16288_8_57	74776	2007591	6	6
433_14410_6_68	72527	2081505	4	4
598_10050_2_45	71958	2137019	4	4
114_17150_5_18	74721	2110284	7	7
603_6259_5_1	167480	2116942	18	18
117_14520_4_68	91015	2064696	11	10
158_6673_8_23	74419	2020163	4	4
207_17175_8_65	93244	2205637	7	7
527_17966_5_78	103221	2127901	6	6
275_15531_7_23	84894	2076255	11	11
446_14555_4_13	75948	1955750	6	6
12_10071_4_16	84855	1979207	14	14
355_12837_1_71	79454	2050096	8	7
311_21999_8_48	72565	2178999	2	2
448_14566_4_94	72778	2087319	12	6
500_16288_8_39	100588	2046265	5	5
615_6841_7_15	115339	2077109	12	12
465_15608_4_9	87979	2138601	9	9
109_22695_3_70	88319	2124923	9	9
309_16288_8_34	117734	1969495	10	10
248_6259_5_7	73684	2143170	3	3
596_11861_3_2	76339	2090829	6	6
451_14673_4_24	78904	2165147	11	11
115_12291_3_35	87942	2135971	9	9
169_17150_6_14	74271	2072937	6	6
204_21242_2_138	105394	2147407	10	10
203_6983_4_90	74201	2010913	3	2
440_14520_6_21	55382	2118929	5	5
537_18456_1_31	74810	2116347	8	8
375_16288_6_40	103482	2011324	14	14
394_21999_8_64	76351	1975813	2	2
538_18456_1_52	77473	2112999	3	3
257_20957_7_122	101183	2160253	13	13
606_6641_6_4	128756	2133387	18	18
550_19183_3_6	83969	2120461	13	13
130_6736_6_17	105862	2083547	12	12
461_15277_3_68	74818	2077591	4	4
428_13415_4_13	68845	2119086	9	9
96_15531_5_92	86580	1978311	5	5
486_16288_6_22	98870	2021686	13	12
435_14410_7_41	74293	2079330	5	5
579_9789_3_70	73497	2095353	9	9
103_17428_8_127	80123	2090151	10	10
84_6807_1_12	129792	2039264	14	14
376_16288_6_47	106796	2018359	7	7
21_13470_1_90	113449	2142859	17	17
190_15378_3_12	86680	2194313	12	12
312_22841_2_80	64965	2130799	7	7
162_16043_2_56	72377	2010915	3	3
243_14412_2_29	66744	2043925	7	7
489_16288_6_72	95496	1997036	12	10
562_20925_3_53	86565	2071189	11	11
540_18456_1_95	311174	2066461	49	47
564_20925_3_80	95489	2086418	5	5
289_21999_7_133	89541	2184366	8	8
165_6259_5_10	93853	2018693	7	7
201_17870_7_93	91524	2038822	9	9
497_16288_8_23	101345	2046739	9	8
611_6807_3_15	159309	2032653	22	22
237_12291_4_10	99241	2057343	9	9
107_6841_7_10	75361	2044089	6	6
232_15531_6_9	74093	1985986	14	14
88_14520_5_11	87304	2003952	11	11
401_6631_3_12	96549	2121508	8	8
405_6823_4_8	113274	2090669	6	6
566_21053_8_127	66075	2047552	4	4
143_17870_7_161	74565	2105517	9	8
30_6841_7_17	97052	2043490	7	7
400_6631_2_16	89338	2094870	13	13
614_6840_3_21	129180	2004647	11	10
422_12837_2_40	91920	2054635	8	8
386_19084_8_101	64075	2022760	7	6
407_10395_5_18	68752	2103352	5	5
530_18090_1_68	85378	2149119	9	9
411_10395_5_55	84472	2088471	6	6
617_6972_4_10	78397	1999852	9	9
592_11860_6_83	85327	2084102	11	10
125_12837_1_13	74152	2111986	9	9
48_12837_3_79	117967	2143617	16	15
555_19341_3_78	81599	2116775	5	5
323_11658_2_89	68663	2063089	3	3
222_6631_3_23	89872	2046688	7	6
511_17138_5_49	110154	2070774	5	5
584_22841_4_145	68172	2104597	10	10
503_16453_2_55	77795	2077766	2	2
27_11511_7_66	91337	2092238	7	7
515_17150_6_23	88013	2179266	9	9
294_6680_7_23	81951	2131667	8	8
613_6823_7_5	132817	2085826	26	25
154_6680_4_17	78700	2017414	4	4
220_16453_2_18	77418	2012612	5	5
319_6938_7_6	87280	2003192	10	9
335_16288_7_45	82850	2015496	5	5
324_14673_2_51	72084	1992750	7	7
270_12837_1_65	88320	2100820	6	6
395_22027_1_38	126913	2141959	13	13
284_16288_8_61	79188	2090729	12	12
238_14913_3_38	344691	2065686	51	50
73_6631_4_21	68956	1960925	5	5
123_17794_8_71	73873	2005393	9	9
157_21903_8_278	69514	2077032	5	5
371_16288_3_43	92904	1995723	6	6
104_6731_5_11	90126	2044494	7	7
533_18090_2_100	84768	2127415	10	10
577_21999_8_29	74663	2095832	6	6
502_16288_8_58	87408	2133199	6	6
514_17150_5_52	101923	2103254	9	8
536_18456_1_172	113649	2164168	23	23
161_15378_3_10	85811	2138723	9	9
301_14913_3_1	82805	2001478	10	10
261_6755_2_23	97383	2001620	5	5
79_13470_1_16	83591	2058697	5	5
473_15995_2_179	90151	2092234	4	4
586_22841_3_110	76905	2082027	12	11
352_12291_6_20	71068	2069905	7	6
361_14520_6_76	104537	2116101	8	8
295_19084_7_140	82449	2074881	5	5
541_19084_7_107	95861	2061117	9	9
348_11511_8_94	67328	2090238	10	9
198_22841_3_10	76800	2127508	5	5
223_9789_2_42	88477	2081205	7	6
609_6730_7_7	94930	2038069	7	7
202_9789_5_86	91302	2055821	7	7
25_13415_6_52	101813	2073881	14	14
89_15608_3_14	69332	2057163	3	3
575_21999_7_130	86325	2031582	8	8
101_16288_6_5	74062	2008474	8	8
293_6823_3_4	107989	2061228	9	9
40_6736_5_15	88219	2051176	5	5
441_14520_6_24	83069	2101451	5	5
250_11861_1_59	77744	2078348	3	3
199_17150_5_50	67571	2011934	6	6
188_6807_3_17	86128	2086466	10	9
545_19084_7_79	83219	2085385	8	8
556_19341_3_92	89055	2076242	8	8
501_16288_8_40	89185	2120831	7	7
569_21053_8_162	81356	2190370	9	9
356_12837_2_32	72996	2169651	4	4
427_13414_2_70	88296	2003674	6	6
287_6805_6_20	96064	2103895	3	3
325_18456_1_29	93564	2134139	4	4
53_11791_1_59	106165	2114283	8	8
521_17794_8_58	69172	2162355	8	8
374_16288_4_81	108098	2017268	12	12
251_12290_3_24	102951	2104414	12	11
171_14410_8_19	77921	2167099	6	6
344_22841_2_153	89484	2157363	9	8
398_6259_7_19	81153	1932114	15	15
179_14913_7_55	85346	2080245	5	5
443_14520_6_39	72755	2136117	16	16
76_19341_2_145	97011	2176671	6	6
366_14936_6_76	77331	2079639	7	6
594_11861_1_47	77345	2089348	4	3
372_16288_4_19	96851	2001586	8	7
49_7553_5_90	74739	2073028	5	5
209_17138_5_38	93868	2111289	8	8
7_7622_3_92	66012	2040696	4	4
345_6680_7_12	94430	2068247	7	7
135_19084_8_163	73230	2047755	9	9
291_22709_8_349	80674	2107291	7	7
194_17175_8_36	178296	2066098	29	29
20_6753_2_5	86964	2145959	9	9
483_16288_4_80	99119	2029965	9	7
438_14520_4_45	106087	2048395	17	17
133_13470_1_77	96541	2158965	5	5
122_6710_8_6	85103	2116863	6	6
77_14555_3_93	74606	2149179	2	2
518_17794_8_145	77484	2059454	6	6
326_12291_1_36	76874	2073143	4	4
82_7054_4_16	86037	2089458	7	7
341_21127_2_44	68747	2248681	5	5
334_15682_1_68	93301	2037369	2	2
170_16288_8_54	97612	2071454	5	4
41_13415_6_19	72407	1996731	9	8
260_16288_5_50	92810	2031624	8	8
215_6753_3_20	76646	2096022	4	4
181_12378_2_50	83627	2148205	5	4
322_19084_8_80	64657	2025113	6	6
379_17870_7_147	92261	2158364	11	11
595_11861_2_71	88805	2034131	4	4
475_16043_2_77	105559	2119702	7	7
271_13414_8_85	87545	2065024	6	6
419_12291_3_47	81165	2075295	4	4
318_6680_8_5	91769	2024005	5	5
549_19084_8_76	83281	2128103	4	4
263_7011_6_19	96931	2162401	8	8
63_6680_6_14	89126	2094281	12	9
228_15531_2_51	73936	2041894	1	1
364_14673_4_78	91697	2031162	10	10
459_14936_4_74	107459	2041837	6	6
360_14520_6_17	59685	2105241	10	10
286_22114_6_80	71498	2072967	8	8
308_6983_7_64	75508	2063777	3	3
320_7011_3_14	86686	2107057	7	7
253_14566_4_24	84447	2017539	5	5
620_6512_2_10	116801	2120509	8	7
608_6730_7_17	85756	2074148	7	7
90_15841_1_45	85453	2129500	7	7
304_14723_4_81	95220	2074648	5	4
273_11860_7_5	80548	2021192	11	11
134_6710_6_21	79127	1999554	3	3
363_14673_1_56	82357	1968657	7	7
470_15874_1_89	78580	2082771	6	6
469_15873_1_34	81100	2057537	4	4
505_17059_8_84	56044	2085362	3	3
406_6972_2_22	146802	2034642	15	15
13_12837_5_55	81667	2106388	4	4
327_12291_1_58	77352	2093288	5	5
331_14410_7_57	68167	2101626	9	9
264_6259_5_2	113859	2109898	10	10
247_16288_3_59	104525	2068383	26	26
216_9716_7_4	103582	2142085	7	7
205_12837_5_80	110123	2128667	18	18
196_16288_8_37	115609	2080983	14	14
124_11893_1_88	70559	2077240	4	4
64_18090_2_111	73851	2118562	7	7
22_19183_3_93	84399	2064121	10	10
487_16288_6_23	114643	2092116	11	11
163_15378_3_73	87877	2060560	9	9
127_6730_6_14	84584	1923901	9	9
479_16288_3_71	111885	2067284	9	9
397_7622_2_47	78617	2006320	13	13
403_6714_7_10	91598	2062122	20	20
17_12162_1_35	83861	2073875	3	3
612_6823_4_5	98832	2089194	13	13
111_13710_1_52	77930	2050791	8	8
471_15995_1_87	84604	2138607	6	6
98_11657_4_51	83111	1981908	6	6
517_17794_7_27	103725	2025145	11	10
444_14520_7_44	60171	2124040	3	3
166_6949_3_2	86499	2069816	5	4
337_16288_7_13	90355	2137859	8	8
145_15841_3_56	71590	2056955	7	7
132_13414_2_34	97639	2091371	9	9
214_6641_6_17	102870	2093909	17	17
139_22841_2_118	110964	2114996	9	9
255_17150_4_25	98035	2140170	8	8
463_15531_6_81	78759	2080410	12	9
95_21999_8_54	67217	2013499	2	2
78_14520_7_15	82077	2076111	11	11
315_6470_6_16	84586	2079195	2	2
452_14723_2_31	107364	2135024	7	7
544_19084_7_50	87637	2129279	11	10
174_7054_5_2	74782	2065219	4	4
383_18090_2_97	75688	2021229	6	6
580_22114_6_56	91716	2096474	8	6
484_16288_5_24	98752	2123614	19	19
591_11860_5_19	79865	2089197	7	7
329_15731_8_86	85579	2117701	12	12
529_18090_1_188	84200	2074573	8	8
557_20925_3_14	92268	2078788	1	1
328_14936_5_26	97086	2143449	9	9
354_12837_1_56	87451	2039187	6	4
15_10071_4_42	80492	1974543	7	7
415_12290_3_2	80949	2110077	8	8
333_15531_5_57	84358	2097475	9	9
588_21903_8_95	94205	2073581	11	11
353_12378_2_64	72959	2110396	7	7
1_19341_2_69	74277	2069758	9	9
118_6680_5_6	148648	2096676	26	25
409_10395_5_40	71754	2077469	4	4
330_17175_7_9	84586	2068727	7	7
396_22841_1_177	68074	2092550	9	9
178_13415_8_81	71744	2076733	2	2
357_13091_6_13	89281	2035794	7	7
9_11791_1_52	87222	2053862	7	6
281_9789_4_37	69093	2078339	2	2
280_9789_3_66	86268	2081425	4	4
136_19084_8_41	71006	2054257	4	4
543_19084_7_36	97194	2168155	6	6
225_16288_7_69	102220	2025610	5	5
456_14913_2_94	83458	2108492	11	11
142_14257_1_81	66935	1974816	5	5
343_22114_6_37	112749	2133939	10	9
148_15378_4_35	118304	2091685	15	14
299_17059_8_88	85148	1995819	7	7
106_6710_8_19	76526	2102054	10	9
56_12837_1_46	97640	2008908	8	8
554_19341_3_55	81807	2175155	8	8
8_10050_2_78	102293	2079542	6	6
317_6631_7_18	80544	2023892	4	4
288_19341_2_96	93660	2109042	8	8
267_19084_7_130	77484	2105808	12	12
192_18090_5_36	92888	2171137	4	4
160_17150_4_84	72568	2118665	6	5
520_17794_8_37	69913	2034544	6	6
6_11861_4_83	90874	2057651	7	7
19_7553_4_32	79673	2040603	4	4
29_21946_6_328	71366	2094127	7	7
468_15841_5_8	58644	2040363	3	3
513_17150_4_72	87802	2192081	6	6
574_21999_7_109	71490	2142457	10	10
28_6840_3_5	84893	2067121	19	19
460_14936_5_67	93122	2065558	8	6
367_15378_4_63	94033	2079046	18	18
155_14555_3_8	72712	2015226	8	8
490_16288_7_2	103880	2121492	11	11
110_6805_3_7	71179	2056648	10	10
226_22841_2_25	75772	1983669	12	12
187_6673_8_22	73580	2000971	1	1
66_6631_1_22	76265	2093864	15	15
358_13415_4_55	72529	2042563	5	5
571_21127_1_165	86328	2182811	10	10
377_17428_8_140	55070	2107643	3	3
532_18090_1_76	81074	2238565	7	7
339_18090_2_74	90432	1995010	6	6
31_10071_4_11	84162	2059421	4	4
316_6470_6_20	77997	2077593	8	8
454_14723_2_4	81554	2026251	4	4
80_15873_2_42	82103	2083308	5	4
413_11658_1_89	60405	2192939	4	4
71_16453_2_30	86715	2082947	11	11
51_12837_2_27	77080	2013317	6	6
105_11657_8_42	67312	2058799	4	4
414_11679_1_83	70897	2105484	2	2
65_14936_5_47	100166	2066880	16	16
477_16043_2_84	71696	2056255	3	3
242_14913_3_66	91671	2085765	4	3
217_9789_5_40	84490	2069143	5	5
39_10071_4_9	68211	2039349	6	6
283_6805_2_21	102581	2064002	10	9
32_11860_7_64	83485	1996560	5	5
120_9789_2_39	96314	2104706	10	9
467_15841_4_75	82014	2187195	13	13
439_14520_6_13	59559	2132103	2	2
167_7004_8_91	86555	2070551	9	8
432_14257_1_50	106487	2083484	10	10
227_15378_3_48	101936	2072377	3	2
359_14520_4_28	85293	2059022	11	11
140_6486_5_20	67612	2057253	2	2
496_16288_8_20	98064	2080071	13	13
33_15731_8_23	76056	2070928	4	4
510_17138_5_48	98756	2121954	5	5
494_16288_7_68	83291	2070476	8	7
619_6486_8_9	83716	2084216	7	7
466_15731_8_50	90291	2129933	11	10
298_12291_3_40	76831	2119148	3	3
150_7068_4_21	99922	2051318	6	6
239_13415_8_24	95194	2087794	2	2
390_11860_8_47	66568	2044811	3	3
47_19341_2_86	97106	2198575	6	6
426_13154_4_4	66791	2131470	4	4
481_16288_4_44	76889	1961163	4	4
38_13414_1_86	83082	2072330	8	8
499_16288_8_29	109259	1999242	6	6
402_6664_1_14	79674	2070653	12	11
97_11657_2_78	110288	2097989	11	11
23_19084_7_114	88307	2153323	6	6
310_22027_1_41	70465	2011478	5	5
573_21127_2_26	80380	2088386	16	14
