scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
484_16288_5_24	71205	2118283	18	12
324_14673_2_51	47361	1991468	5	4
245_14723_2_5	300929	2025830	70	53
357_13091_6_13	59252	2035714	14	11
530_18090_1_68	49654	2150438	9	6
340_19341_2_112	44843	2098035	13	9
465_15608_4_9	65655	2138601	16	7
5_9789_4_28	67714	2065787	10	4
112_16453_2_35	89226	2087377	11	2
488_16288_6_7	52368	1989474	7	5
375_16288_6_40	70403	2009174	9	7
598_10050_2_45	49326	2137677	9	8
56_12837_1_46	61874	2007945	13	9
345_6680_7_12	64218	2068247	8	7
415_12290_3_2	56035	2111724	9	5
446_14555_4_13	46139	1956262	5	4
114_17150_5_18	49312	2114890	5	3
180_7004_7_62	59129	2144992	24	12
443_14520_6_39	50563	2138155	8	7
138_7011_3_5	55453	2086965	9	7
158_6673_8_23	45599	2021499	6	4
492_16288_7_55	59461	2054727	6	3
307_16288_6_15	60898	2101413	9	7
577_21999_8_29	55996	2098014	12	8
366_14936_6_76	50884	2081348	4	2
232_15531_6_9	56037	1985986	20	18
579_9789_3_70	47564	2099606	2	1
132_13414_2_34	75629	2090033	29	12
11_17175_6_81	55415	2117881	6	3
376_16288_6_47	73167	2015042	12	8
20_6753_2_5	62184	2141164	13	12
182_16399_5_10	46445	2070379	14	14
562_20925_3_53	59937	2078127	10	8
54_15841_3_44	61219	2076752	12	7
566_21053_8_127	40091	2049540	8	7
510_17138_5_48	63873	2122333	7	6
397_7622_2_47	53330	2004632	20	12
335_16288_7_45	56186	2017534	8	6
175_11791_1_6	37573	2060078	3	3
470_15874_1_89	50532	2056284	5	3
110_6805_3_7	47759	2058215	8	4
517_17794_7_27	73082	2025517	17	14
551_19341_2_130	51172	2081483	7	6
518_17794_8_145	48646	2058862	10	7
342_22841_2_175	44482	2154214	6	5
113_22841_3_34	56469	2096108	13	9
364_14673_4_78	57975	2033467	8	5
292_7004_6_30	40247	1977360	4	4
189_12291_3_19	71745	2050252	22	5
256_14520_4_44	34101	2012893	5	4
587_23164_8_130	42625	2016145	6	4
19_7553_4_32	53088	2040242	3	1
326_12291_1_36	47660	2066910	8	3
338_18090_1_62	65672	2100038	3	1
203_6983_4_90	51572	2031065	5	1
416_12291_1_71	46655	2046663	13	8
137_14566_4_23	49517	2002913	11	4
165_6259_5_10	60294	2015490	11	6
378_17794_8_142	45873	2183244	8	6
37_14410_8_18	40096	2111430	1	1
545_19084_7_79	54999	2085822	7	3
99_6512_5_12	43060	2102725	7	7
266_11511_8_86	51922	1980341	8	4
434_14410_6_74	41683	2134550	14	9
327_12291_1_58	46252	2091901	10	6
264_6259_5_2	81674	2116549	31	18
298_12291_3_40	52837	2119148	6	3
417_12291_1_79	75595	2101833	9	7
489_16288_6_72	61417	1994675	11	4
190_15378_3_12	64661	2195854	16	10
383_18090_2_97	53266	2021229	11	7
169_17150_6_14	52858	2073337	9	5
486_16288_6_22	63819	2025288	18	9
512_17150_4_56	71741	2102714	12	4
483_16288_4_80	65625	2036581	10	5
188_6807_3_17	61950	2087082	11	5
57_15873_1_12	44878	2002567	2	1
248_6259_5_7	52354	2149315	8	6
186_7004_5_22	56629	2061070	4	3
115_12291_3_35	70624	2137790	15	7
160_17150_4_84	44015	2119434	6	4
555_19341_3_78	57078	2116775	9	4
616_6841_7_2	72838	1971419	16	13
396_22841_1_177	45005	2090901	7	5
617_6972_4_10	60256	1999852	9	5
533_18090_2_100	56090	2127527	4	3
846_11861_5_11	64062	2148770	26	14
576_21999_8_21	44507	2032446	8	5
501_16288_8_40	57172	2120831	6	6
550_19183_3_6	64154	2093090	24	19
184_15841_2_93	49634	2102896	4	3
479_16288_3_71	70494	2068585	11	8
225_16288_7_69	68201	2025610	13	8
202_9789_5_86	58715	2057497	10	9
234_15608_4_46	55654	2035182	11	7
293_6823_3_4	67856	2062524	6	6
146_21946_6_271	56115	2135236	8	6
359_14520_4_28	59039	2063070	14	14
253_14566_4_24	51556	2016737	5	2
142_14257_1_81	45366	1975593	18	9
519_17794_8_154	47824	2090727	2	1
58_14410_7_84	61926	2085053	15	4
181_12378_2_50	57907	2150125	3	3
490_16288_7_2	74207	2121492	14	12
285_16399_6_42	50284	2189609	10	9
606_6641_6_4	90045	2151286	20	17
270_12837_1_65	63654	2100820	14	6
34_17059_6_69	59202	2065416	3	3
283_6805_2_21	68199	2107922	13	9
121_14520_4_19	60625	2142228	6	6
527_17966_5_78	69380	2127553	16	10
143_17870_7_161	48472	2105010	7	6
505_17059_8_84	43165	2084393	5	4
447_14555_4_27	66869	2062873	8	6
601_6999_4_13	61158	2033111	11	3
575_21999_7_130	56791	2033090	18	8
170_16288_8_54	65750	2071454	17	10
525_17870_8_147	69824	2097757	19	9
130_6736_6_17	72112	2084749	24	12
323_11658_2_89	49187	2061042	7	1
351_12291_1_62	49151	2067868	5	4
612_6823_4_5	71654	2091749	14	13
265_6983_4_75	66868	2004917	10	6
215_6753_3_20	52571	2069351	11	7
290_22667_8_48	43666	2121370	4	2
353_12378_2_64	47320	2114658	13	8
421_12837_2_10	50856	2068764	4	3
459_14936_4_74	72158	2041837	11	10
317_6631_7_18	54989	2023892	7	4
497_16288_8_23	67565	2055694	9	7
257_20957_7_122	70304	2161131	31	20
431_13710_2_39	59923	2087802	11	6
77_14555_3_93	54028	2149179	13	8
162_16043_2_56	49881	2010915	9	8
22_19183_3_93	54993	2063123	10	8
515_17150_6_23	57803	2177974	8	6
255_17150_4_25	69618	2140984	11	3
243_14412_2_29	42529	2043925	6	5
123_17794_8_71	47684	1983782	8	4
