scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
401_6631_3_12	26202	2126040	4	0
395_22027_1_38	40351	2141801	3	2
446_14555_4_13	20992	1955316	20	20
559_20925_3_2	27779	2229025	4	2
133_13470_1_77	21028	2159577	5	2
482_16288_4_45	32344	2085736	18	15
579_9789_3_70	23498	2093970	20	20
555_19341_3_78	22415	2131382	8	6
469_15873_1_34	20778	2058821	3	3
553_19341_3_39	26639	2138360	9	5
574_21999_7_109	22771	2143870	7	2
196_16288_8_37	40936	2079303	6	5
214_6641_6_17	34306	2094302	19	11
15_10071_4_42	22306	1975391	10	8
320_7011_3_14	28924	2109687	34	33
470_15874_1_89	19555	2083313	12	4
86_15378_4_11	24720	2014873	12	11
165_6259_5_10	24735	2012685	7	3
445_14555_3_68	23683	2032687	5	2
396_22841_1_177	19295	2090901	9	3
447_14555_4_27	24236	2060016	6	5
260_16288_5_50	25633	2031982	4	1
295_19084_7_140	21743	2076077	5	5
66_6631_1_22	24910	2093864	17	13
611_6807_3_15	53439	2078950	11	9
10_22027_1_37	28714	2088119	8	7
388_19183_3_80	22269	2204791	13	10
487_16288_6_23	28095	2076456	11	8
243_14412_2_29	23716	2042786	15	12
26_14410_4_34	24333	2086384	13	8
48_12837_3_79	38997	2143314	27	11
142_14257_1_81	17686	1970390	4	1
23_19084_7_114	25182	2153323	17	13
52_17138_3_87	22182	2060564	6	6
613_6823_7_5	57994	2080082	44	25
149_6259_7_5	21389	1980663	13	9
370_15608_3_30	36707	2141716	7	6
97_11657_2_78	27759	2093985	7	5
294_6680_7_23	29180	2130879	11	10
313_23164_8_79	19059	2140866	4	3
136_19084_8_41	22535	2052554	21	12
605_6631_3_9	37213	2128740	5	5
159_14410_8_42	20981	2160494	8	5
403_6714_7_10	30421	2057980	31	20
506_17138_3_48	23206	2079062	11	9
253_14566_4_24	24044	2017969	8	8
160_17150_4_84	18181	2118087	12	10
344_22841_2_153	21367	2156818	6	3
181_12378_2_50	21951	2153775	3	2
