scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
401_6631_3_12	56799	2142568	105	104
577_21999_8_29	36801	2138996	27	26
440_14520_6_21	25127	2130336	18	17
482_16288_4_45	57540	2094102	85	80
383_18090_2_97	46519	2022767	38	30
295_19084_7_140	42095	2078259	21	21
136_19084_8_41	62745	2055489	93	86
214_6641_6_17	79872	2097444	180	176
573_21127_2_26	43803	2088386	26	24
60_6649_8_14	64325	2074751	72	70
78_14520_7_15	39548	2087485	40	21
215_6753_3_20	59559	2114683	60	46
77_14555_3_93	328878	2155683	722	694
376_16288_6_47	35586	2079696	21	16
534_18090_2_117	64973	2125289	58	41
113_22841_3_34	48472	2101203	56	47
99_6512_5_12	63723	2103932	79	67
174_7054_5_2	46147	2079580	27	24
553_19341_3_39	62308	2134223	81	73
613_6823_7_5	94921	2093949	195	179
211_17059_6_93	46394	2110736	67	67
483_16288_4_80	48289	2073971	74	71
331_14410_7_57	33304	2118264	16	13
196_16288_8_37	42677	2080353	26	25
489_16288_6_72	48979	2053142	47	41
71_16453_2_30	37923	2132382	23	19
54_15841_3_44	40489	2109725	31	26
280_9789_3_66	66646	2142259	86	86
44_11861_1_1	42041	2062346	25	21
544_19084_7_50	45021	2167800	19	18
446_14555_4_13	40377	1996613	30	26
160_17150_4_84	51831	2120377	56	51
216_9716_7_4	49375	2142832	52	50
313_23164_8_79	42827	2145119	61	55
147_14520_4_23	68025	2084942	86	72
261_6755_2_23	42090	2010142	21	16
594_11861_1_47	33262	2085500	16	14
114_17150_5_18	30931	2112356	23	18
107_6841_7_10	85062	2054092	176	152
579_9789_3_70	59641	2128066	78	75
460_14936_5_67	36543	2072509	30	29
502_16288_8_58	37648	2138581	24	22
318_6680_8_5	32836	2101745	21	21
583_22667_7_175	39067	2093049	33	26
222_6631_3_23	55543	2132577	51	50
592_11860_6_83	39671	2084020	20	17
392_21127_2_134	44638	2046228	40	40
283_6805_2_21	44740	2124006	38	33
444_14520_7_44	37620	2131557	38	38
405_6823_4_8	49291	2135787	55	47
262_22114_6_41	44616	2145374	36	34
407_10395_5_18	78857	2159864	117	109
375_16288_6_40	43252	2037590	37	33
162_16043_2_56	31127	2009531	17	14
515_17150_6_23	35865	2178097	20	18
367_15378_4_63	59050	2077903	82	76
415_12290_3_2	45260	2150024	35	27
32_11860_7_64	49841	1996669	54	46
488_16288_6_7	41130	2008808	29	27
53_11791_1_59	41007	2181621	23	19
505_17059_8_84	26820	2089658	18	13
498_16288_8_25	49340	2047326	60	57
9_11791_1_52	109296	2057179	126	114
242_14913_3_66	52357	2088634	48	44
550_19183_3_6	53310	2169696	81	71
325_18456_1_29	40357	2175653	41	41
168_14913_2_82	54250	2106582	44	42
354_12837_1_56	39440	2054632	28	24
316_6470_6_20	39518	2108242	26	23
173_6753_4_18	51978	2113412	30	25
486_16288_6_22	53090	2076890	78	69
466_15731_8_50	42603	2129933	49	40
264_6259_5_2	58837	2118541	55	41
576_21999_8_21	42088	2033178	24	21
103_17428_8_127	30009	2088348	18	16
251_12290_3_24	53768	2105414	91	86
286_22114_6_80	37223	2072583	28	22
154_6680_4_17	46701	2032888	49	45
311_21999_8_48	48478	2214813	48	44
619_6486_8_9	42461	2087411	31	28
571_21127_1_165	50639	2187403	41	37
70_13470_1_30	37197	2046674	21	18
487_16288_6_23	42277	2131045	34	27
410_10395_5_54	72762	2177307	109	104
398_6259_7_19	32254	1964396	8	7
73_6631_4_21	60421	1982369	68	58
191_22027_1_109	50066	2052134	50	41
492_16288_7_55	43175	2081040	37	33
447_14555_4_27	37818	2078966	37	32
87_6753_4_20	82594	2076776	108	80
506_17138_3_48	54115	2080095	61	56
254_15995_2_63	65811	2144342	68	60
125_12837_1_13	41902	2127726	40	35
529_18090_1_188	68525	2076880	80	60
249_21242_2_135	37475	2090452	30	27
80_15873_2_42	43096	2089286	25	20
34_17059_6_69	41664	2064864	28	27
180_7004_7_62	58393	2146689	42	39
92_17794_8_174	39693	2011025	30	25
259_15995_1_102	40288	1990107	18	16
485_16288_5_29	37241	2165135	32	29
55_11861_3_41	35926	2063713	25	19
406_6972_2_22	65206	2093286	92	90
97_11657_2_78	56505	2106369	67	60
128_6664_1_6	59306	2058411	48	40
195_15873_2_24	41585	2096262	30	29
403_6714_7_10	78660	2095905	119	112
39_10071_4_9	50531	2053595	35	23
530_18090_1_68	54983	2181462	60	58
414_11679_1_83	49711	2118007	51	49
79_13470_1_16	41580	2079213	33	31
337_16288_7_13	60444	2138204	69	56
513_17150_4_72	39658	2167036	29	26
69_16288_8_3	39587	1980559	37	31
244_7038_7_22	69593	2093166	101	90
400_6631_2_16	38414	2143582	28	24
514_17150_5_52	59113	2101384	67	64
422_12837_2_40	34958	2055607	21	18
366_14936_6_76	99156	2088910	158	155
503_16453_2_55	33168	2078469	24	22
288_19341_2_96	50441	2109892	42	34
220_16453_2_18	44204	2011773	27	21
454_14723_2_4	33871	2056018	19	17
609_6730_7_7	77939	2109028	206	198
561_20925_3_41	37745	2091347	19	15
497_16288_8_23	41169	2065328	51	47
584_22841_4_145	41640	2105733	27	25
608_6730_7_17	32720	2110914	22	19
304_14723_4_81	41354	2082218	35	31
430_13415_6_1	38100	2119618	30	27
512_17150_4_56	57679	2102714	89	86
142_14257_1_81	40248	1975359	22	16
607_6649_7_17	51396	2086879	59	39
542_19084_7_126	43666	2176812	33	32
545_19084_7_79	53740	2119805	62	56
101_16288_6_5	47597	2049963	48	43
531_18090_1_73	43572	2094339	38	32
273_11860_7_5	37804	2020762	24	20
372_16288_4_19	31344	2029396	28	28
516_17428_8_149	59508	2085241	45	32
98_11657_4_51	31984	1981098	28	25
133_13470_1_77	50918	2161881	60	58
421_12837_2_10	40659	2068764	22	19
338_18090_1_62	36047	2098045	28	22
130_6736_6_17	57057	2088065	96	75
335_16288_7_45	30161	2005614	10	8
431_13710_2_39	42442	2095141	35	34
158_6673_8_23	54336	2037003	62	52
413_11658_1_89	29437	2254660	19	12
374_16288_4_81	41087	2063931	42	41
500_16288_8_39	39881	2065462	53	47
260_16288_5_50	42252	2031982	22	21
42_6673_8_24	300626	2071773	85	50
424_12837_3_13	110155	2196357	209	199
373_16288_4_57	55779	2174106	51	39
187_6673_8_22	38603	2004964	17	15
310_22027_1_41	46543	2011541	51	45
442_14520_6_33	105219	2144841	149	146
409_10395_5_40	75040	2087034	88	81
10_22027_1_37	37711	2088627	17	17
256_14520_4_44	26973	2017357	12	11
532_18090_1_76	38057	2240078	29	23
593_11860_7_14	44221	2061304	50	33
47_19341_2_86	84778	2199442	120	107
166_6949_3_2	74326	2070348	96	86
118_6680_5_6	48680	2092852	32	26
361_14520_6_76	35977	2117861	18	16
846_11861_5_11	42140	2187752	24	21
121_14520_4_19	33886	2133772	20	19
580_22114_6_56	48533	2148304	44	39
115_12291_3_35	88649	2159351	115	107
356_12837_2_32	39155	2200451	36	32
428_13415_4_13	32222	2116978	30	20
595_11861_2_71	34099	2038029	24	21
183_18456_1_110	52388	2077968	62	57
194_17175_8_36	55345	2064381	30	28
201_17870_7_93	38302	2082724	19	14
56_12837_1_46	32906	2007114	21	13
159_14410_8_42	68460	2166427	93	87
315_6470_6_16	37453	2118725	20	17
360_14520_6_17	33882	2105241	44	43
64_18090_2_111	37146	2118911	22	20
212_21127_1_102	49420	2086415	32	28
189_12291_3_19	37112	2050252	21	18
614_6840_3_21	81916	2005035	172	167
453_14723_2_37	45309	2136675	61	48
371_16288_3_43	37290	2007222	21	17
192_18090_5_36	34013	2169852	26	16
438_14520_4_45	81970	2062887	94	83
148_15378_4_35	53160	2092262	94	83
84_6807_1_12	53101	2058518	51	40
570_21053_8_172	249473	2119670	515	495
163_15378_3_73	34505	2054126	21	21
308_6983_7_64	55090	2029828	60	50
210_15995_1_7	45427	2130463	54	40
178_13415_8_81	40445	2077762	22	20
157_21903_8_278	43775	2090636	46	40
248_6259_5_7	43422	2142878	29	25
247_16288_3_59	62376	2069725	98	88
359_14520_4_28	35723	2060604	13	12
596_11861_3_2	56825	2124267	64	59
591_11860_5_19	45102	2091337	64	54
253_14566_4_24	39378	2016017	36	33
408_10395_5_25	47814	2005108	61	55
49_7553_5_90	55417	2073028	33	30
323_11658_2_89	51071	2123268	59	49
120_9789_2_39	53400	2119199	47	41
237_12291_4_10	50019	2103297	65	57
150_7068_4_21	37176	2072057	22	20
276_15841_5_94	44557	2057386	39	35
236_16288_8_57	41583	2011777	33	29
455_14723_4_16	39695	2041983	18	11
109_22695_3_70	43866	2126525	26	23
445_14555_3_68	40327	2029038	24	23
161_15378_3_10	46996	2131484	59	50
575_21999_7_130	38814	2028000	23	21
235_17794_7_174	101948	2179697	143	136
397_7622_2_47	54070	2034183	61	48
603_6259_5_1	70499	2139428	70	64
471_15995_1_87	219042	2162914	428	402
419_12291_3_47	51251	2125496	36	33
4_21903_8_266	46792	2060960	33	30
170_16288_8_54	89693	2070077	130	117
604_6259_7_15	45676	2166792	26	22
217_9789_5_40	39707	2074055	32	31
65_14936_5_47	42841	2066880	36	33
536_18456_1_172	44298	2167644	39	34
473_15995_2_179	36852	2105305	29	25
21_13470_1_90	50872	2147624	37	34
3_22841_1_33	61915	1991805	60	51
26_14410_4_34	45395	2097994	48	46
17_12162_1_35	55998	2073875	61	54
615_6841_7_15	67536	2074240	72	56
62_16399_7_65	44974	2191674	35	30
459_14936_4_74	43550	2069156	40	38
416_12291_1_71	46163	2047687	46	44
319_6938_7_6	67576	2057937	88	69
509_17138_5_43	326079	2159263	724	675
616_6841_7_2	39479	1979001	48	33
351_12291_1_62	34649	2067868	16	14
132_13414_2_34	49614	2090033	42	37
51_12837_2_27	31608	2010970	23	21
510_17138_5_48	42037	2121954	21	14
227_15378_3_48	47371	2079552	44	44
378_17794_8_142	102550	2183686	158	145
96_15531_5_92	42676	1978311	27	21
292_7004_6_30	27835	1993147	20	16
441_14520_6_24	37124	2100223	19	13
559_20925_3_2	65244	2237729	100	78
535_18456_1_118	44959	2270833	30	21
117_14520_4_68	34311	2071189	13	10
469_15873_1_34	34574	2076990	34	32
193_14410_5_66	42701	2109341	48	48
209_17138_5_38	44061	2110806	53	45
379_17870_7_147	53869	2163510	76	54
555_19341_3_78	60719	2136596	69	45
143_17870_7_161	37177	2106178	33	30
246_15731_8_36	36525	2144184	36	26
232_15531_6_9	31042	1988408	22	19
435_14410_7_41	40934	2079873	14	13
451_14673_4_24	55823	2212804	55	47
76_19341_2_145	210603	2177039	423	396
88_14520_5_11	43063	2089161	33	29
124_11893_1_88	54323	2079291	43	38
198_22841_3_10	46336	2145973	39	38
7_7622_3_92	50115	2040696	40	34
172_6664_1_20	52528	2148651	43	38
123_17794_8_71	39745	2011033	32	26
326_12291_1_36	36890	2073605	21	19
285_16399_6_42	41170	2197107	46	37
225_16288_7_69	65602	2125966	76	71
309_16288_8_34	39236	1971141	16	14
223_9789_2_42	35668	2097725	17	15
207_17175_8_65	42629	2206339	36	31
393_21999_7_163	61358	2173173	62	56
181_12378_2_50	92873	2159530	140	138
605_6631_3_9	52722	2135804	67	65
186_7004_5_22	64696	2074250	80	56
307_16288_6_15	49533	2112996	62	58
522_17794_8_68	258278	2051807	519	494
618_7011_6_16	259765	2113836	147	125
185_22027_1_119	307989	2139257	654	628
617_6972_4_10	58445	2011439	65	58
213_22027_1_56	45350	2155208	46	46
255_17150_4_25	43045	2141731	32	31
601_6999_4_13	47465	2068872	45	42
171_14410_8_19	334656	2163263	728	690
240_16399_6_75	42301	2053864	24	23
12_10071_4_16	49558	1978815	38	35
155_14555_3_8	42810	2021474	22	19
328_14936_5_26	41211	2178277	57	52
293_6823_3_4	37406	2101885	27	21
219_16399_7_6	41977	2050914	34	29
245_14723_2_5	84891	2068518	26	22
206_16288_7_75	40979	2088775	46	44
537_18456_1_31	36645	2116617	34	27
25_13415_6_52	44166	2072456	37	31
527_17966_5_78	44500	2126508	30	25
131_13154_2_74	25936	2012948	16	13
490_16288_7_2	61619	2121466	100	97
298_12291_3_40	49355	2119363	44	37
66_6631_1_22	72487	2106495	122	112
330_17175_7_9	42018	2066727	27	21
329_15731_8_86	37330	2126844	29	26
197_21946_6_143	52627	2128687	43	38
568_21053_8_153	39432	2058782	38	26
523_17870_7_141	99857	2090582	150	135
567_21053_8_149	37030	2009805	28	27
188_6807_3_17	47924	2084328	44	39
190_15378_3_12	34552	2197099	25	20
284_16288_8_61	37576	2089325	26	26
321_19341_2_144	99657	2173285	176	165
458_14913_7_88	40063	2142155	11	9
81_17150_4_6	58425	2167941	84	76
134_6710_6_21	73283	2005021	90	67
332_17794_8_185	34781	2105680	15	14
402_6664_1_14	27790	2119665	14	13
390_11860_8_47	44117	2051082	39	33
425_12837_4_74	37715	2022126	22	19
138_7011_3_5	50915	2133498	43	33
30_6841_7_17	34004	2060319	20	16
90_15841_1_45	36790	2135651	24	22
355_12837_1_71	35590	2051623	14	11
449_14566_5_8	221503	2076765	464	433
518_17794_8_145	79132	2098034	91	86
266_11511_8_86	48379	1985716	36	25
40_6736_5_15	42258	2057762	17	13
139_22841_2_118	38908	2121328	24	22
496_16288_8_20	37418	2083837	32	28
67_11861_5_61	42715	2013362	29	27
467_15841_4_75	40942	2191274	33	27
452_14723_2_31	42920	2180350	23	19
27_11511_7_66	46466	2092238	36	32
470_15874_1_89	43591	2056284	32	25
116_14913_4_1	48828	2051585	90	82
202_9789_5_86	45267	2109987	49	46
481_16288_4_44	48867	2011507	32	27
495_16288_7_79	37448	2107146	44	44
528_18090_1_110	45505	2051757	37	34
165_6259_5_10	55716	2026370	68	57
443_14520_6_39	41952	2152036	22	21
389_19341_3_75	53343	2078441	54	40
63_6680_6_14	124122	2124339	149	116
598_10050_2_45	38249	2142927	19	19
20_6753_2_5	79620	2157975	112	83
551_19341_2_130	50600	2089330	63	52
395_22027_1_38	45878	2140715	36	31
106_6710_8_19	57324	2125154	54	43
108_14410_7_30	34173	2053416	29	29
565_20957_7_132	65055	2110941	71	55
462_15378_2_47	33743	2048734	22	22
37_14410_8_18	322953	2111430	706	654
57_15873_1_12	37872	2008685	22	21
95_21999_8_54	52555	2024445	39	38
122_6710_8_6	100118	2116363	135	84
31_10071_4_11	41059	2059661	24	21
569_21053_8_162	43975	2194389	28	21
620_6512_2_10	54815	2134936	64	61
457_14913_4_24	41664	2053084	27	25
396_22841_1_177	47328	2090450	24	22
475_16043_2_77	43177	2119702	39	33
602_6259_5_19	42482	2036823	30	23
33_15731_8_23	42139	2088760	27	24
341_21127_2_44	44086	2245082	30	28
184_15841_2_93	35957	2099126	20	19
263_7011_6_19	86593	2173269	128	123
525_17870_8_147	42900	2096953	42	35
50_11860_8_54	37912	2073642	24	22
606_6641_6_4	52040	2144046	64	45
370_15608_3_30	46657	2142295	33	32
175_11791_1_6	27423	2060694	19	18
110_6805_3_7	104162	2059427	215	193
504_17059_7_81	39009	2076201	17	17
344_22841_2_153	42373	2160212	30	28
465_15608_4_9	79365	2177820	95	82
28_6840_3_5	32040	2070222	37	24
294_6680_7_23	66080	2131933	60	51
479_16288_3_71	45723	2081582	58	55
404_6755_2_5	72518	2053947	119	111
538_18456_1_52	36374	2116284	25	24
265_6983_4_75	288330	2005928	631	602
336_20925_3_10	52740	1971571	44	39
105_11657_8_42	59436	2079967	76	73
234_15608_4_46	39517	2047485	21	18
334_15682_1_68	38292	2035586	20	20
45_7038_7_14	52712	2013449	42	35
501_16288_8_40	40564	2139556	23	17
68_14723_4_87	34107	2044650	14	13
281_9789_4_37	32531	2077883	26	23
384_19084_7_27	36811	2181644	18	15
588_21903_8_95	39574	2079540	23	20
533_18090_2_100	51752	2133810	54	37
587_23164_8_130	36820	2016145	29	24
111_13710_1_52	38824	2057776	18	16
436_14410_7_55	51517	2124768	54	49
102_15874_1_45	36265	1925185	28	28
167_7004_8_91	57416	2072066	49	44
581_22114_6_76	38632	2075434	23	19
546_19084_8_103	32904	2056112	20	17
243_14412_2_29	37990	2041974	20	16
461_15277_3_68	36436	2088000	35	32
549_19084_8_76	345872	2139492	723	690
448_14566_4_94	54620	2099034	68	67
340_19341_2_112	57296	2105051	53	43
517_17794_7_27	64922	2027025	56	49
463_15531_6_81	82416	2089982	139	123
305_17150_5_58	38828	2123718	23	15
129_10395_5_46	256085	2156432	459	426
164_15531_4_83	46453	2139677	54	49
19_7553_4_32	38598	2039834	15	13
381_11860_8_33	64572	2123024	55	53
149_6259_7_5	46367	1984703	51	39
182_16399_5_10	39303	2080716	27	21
177_19084_7_120	56311	2058447	45	38
320_7011_3_14	41387	2108833	51	44
2_13414_8_47	50182	2038216	54	40
468_15841_5_8	34803	2046026	17	16
228_15531_2_51	37413	2041894	32	31
499_16288_8_29	30186	2015214	18	16
423_12837_2_83	46005	2151281	26	24
432_14257_1_50	43256	2082005	33	28
484_16288_5_24	91647	2124168	131	120
434_14410_6_74	25814	2136059	13	12
346_7011_3_17	50167	2012551	44	38
480_16288_3_79	56518	2174086	67	57
611_6807_3_15	54653	2080481	27	22
6_11861_4_83	39588	2060988	22	18
270_12837_1_65	63942	2104437	88	83
377_17428_8_140	30516	2107643	25	17
72_15873_4_65	39937	2048667	23	20
417_12291_1_79	44864	2137043	31	26
137_14566_4_23	39751	2010993	21	16
312_22841_2_80	34061	2130488	28	24
317_6631_7_18	49071	2050656	39	20
13_12837_5_55	36998	2112356	22	16
554_19341_3_55	46973	2183694	27	24
271_13414_8_85	38913	2064482	22	19
258_15841_2_59	69617	2100035	101	99
290_22667_8_48	32240	2158699	29	26
426_13154_4_4	52185	2131000	55	55
478_16288_3_64	38883	2099811	21	15
324_14673_2_51	51760	2003466	49	41
574_21999_7_109	38965	2143223	30	26
203_6983_4_90	49890	2031065	31	28
233_12290_3_56	37204	2024899	16	16
352_12291_6_20	38587	2069905	23	22
345_6680_7_12	56568	2065723	94	87
303_16288_8_8	31297	2068586	27	24
342_22841_2_175	346173	2154067	752	715
464_15531_7_18	77031	2129509	71	65
348_11511_8_94	34814	2092962	22	16
543_19084_7_36	46555	2168530	51	46
493_16288_7_61	51845	1984121	30	27
250_11861_1_59	43641	2079350	37	35
282_16288_8_6	38344	2069041	28	27
272_17870_7_62	37140	2098134	30	28
16_14673_2_9	38772	2047591	27	23
547_19084_8_51	41321	2066670	29	23
427_13414_2_70	48030	2013940	33	29
540_18456_1_95	64499	2066340	23	15
104_6731_5_11	35476	2046748	28	23
322_19084_8_80	35050	2025113	11	10
140_6486_5_20	38080	2071590	19	19
556_19341_3_92	69467	2083315	75	64
327_12291_1_58	45542	2122396	54	49
420_12837_1_59	42286	1986976	28	26
