scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
328_14936_5_26	87795	2142433	4	4
609_6730_7_7	97078	2067034	0	0
52_17138_3_87	77102	2062309	0	0
453_14723_2_37	69779	2126180	2	2
168_14913_2_82	119345	2101360	3	3
518_17794_8_145	74839	2058708	3	3
45_7038_7_14	69474	1953757	3	3
446_14555_4_13	75242	1947835	3	3
598_10050_2_45	74245	2137677	1	1
596_11861_3_2	74038	2084631	4	4
318_6680_8_5	89898	2023007	1	1
260_16288_5_50	95774	2033359	5	5
178_13415_8_81	71395	2077762	2	2
283_6805_2_21	104081	2067919	0	0
173_6753_4_18	85513	2091931	4	4
19_7553_4_32	80328	2039473	2	2
165_6259_5_10	86876	2011304	1	1
130_6736_6_17	107629	2085541	4	4
584_22841_4_145	68616	2105268	0	0
379_17870_7_147	93178	2158885	4	4
541_19084_7_107	102268	2061117	1	1
325_18456_1_29	84662	2133142	0	0
594_11861_1_47	76840	2087925	2	2
607_6649_7_17	114466	2073552	1	1
131_13154_2_74	73954	1998530	0	0
226_22841_2_25	73805	1988245	1	1
495_16288_7_79	121920	2109436	1	1
32_11860_7_64	85064	1997948	2	2
571_21127_1_165	83347	2182616	1	1
30_6841_7_17	97934	2042071	6	6
356_12837_2_32	74480	2170659	0	0
373_16288_4_57	111119	2123733	1	1
342_22841_2_175	75357	2154214	1	1
110_6805_3_7	71071	2056648	1	1
506_17138_3_48	96686	2079062	2	2
353_12378_2_64	75216	2112552	1	1
309_16288_8_34	112642	1969495	3	3
18_11861_5_40	73403	2060334	0	0
359_14520_4_28	80000	2059464	7	7
403_6714_7_10	92134	2062487	8	8
217_9789_5_40	86269	2069622	0	0
587_23164_8_130	65106	2016145	3	3
58_14410_7_84	88851	2085053	9	9
436_14410_7_55	81736	2083672	2	2
602_6259_5_19	69283	2028027	9	9
292_7004_6_30	61974	1976506	5	5
211_17059_6_93	82428	2099123	5	5
534_18090_2_117	79500	2123977	1	1
592_11860_6_83	86291	2081075	3	3
186_7004_5_22	81292	2061070	3	3
429_13415_4_95	69792	2065802	1	1
278_14723_4_80	89229	2071423	2	2
606_6641_6_4	127999	2141836	5	5
175_11791_1_6	62589	2060778	3	3
553_19341_3_39	92345	2144765	1	1
438_14520_4_45	104976	2055796	2	2
104_6731_5_11	85791	2044369	3	3
394_21999_8_64	81098	1975813	3	3
507_17138_5_21	113427	2016526	3	3
483_16288_4_80	99733	2034074	0	0
290_22667_8_48	65460	2121370	1	1
244_7038_7_22	94793	2065473	6	6
569_21053_8_162	83064	2153391	2	2
29_21946_6_328	69445	2093441	3	3
13_12837_5_55	79750	2105333	7	7
90_15841_1_45	80932	2130705	0	0
91_16453_2_39	86885	2089884	3	3
525_17870_8_147	99368	2096900	5	5
249_21242_2_135	79414	2089538	4	4
611_6807_3_15	157405	2026725	7	7
459_14936_4_74	106641	2041837	2	2
426_13154_4_4	67034	2132011	1	1
326_12291_1_36	73446	2069374	0	0
465_15608_4_9	89282	2138601	0	0
333_15531_5_57	78086	2096098	4	4
447_14555_4_27	99420	2051217	1	1
384_19084_7_27	97415	2141144	5	5
505_17059_8_84	59769	2085911	1	1
202_9789_5_86	89914	2054789	2	2
257_20957_7_122	102575	2160015	11	11
510_17138_5_48	92871	2115956	1	1
565_20957_7_132	119323	2112222	1	1
613_6823_7_5	138160	2087151	8	8
73_6631_4_21	70552	1961529	1	1
219_16399_7_6	77304	2034380	1	1
543_19084_7_36	97715	2153633	2	2
93_13415_4_16	111487	2075240	1	0
261_6755_2_23	98081	2001620	2	2
523_17870_7_141	93537	2084368	1	1
101_16288_6_5	74215	2009534	4	4
209_17138_5_38	95178	2111044	1	1
21_13470_1_90	112646	2144951	2	2
473_15995_2_179	96800	2091691	2	2
480_16288_3_79	121013	2135618	4	4
383_18090_2_97	78452	2021229	2	2
51_12837_2_27	79509	2011849	1	1
207_17175_8_65	97258	2205206	0	0
294_6680_7_23	86050	2130359	1	1
164_15531_4_83	72623	2133962	3	3
77_14555_3_93	83319	2152056	1	1
271_13414_8_85	82045	2064482	0	0
154_6680_4_17	74279	2012160	1	1
529_18090_1_188	75956	2075322	1	1
485_16288_5_29	96960	2102361	5	5
20_6753_2_5	88387	2145139	3	3
500_16288_8_39	98186	2050729	1	1
498_16288_8_25	84816	2011077	2	1
67_11861_5_61	76689	2014141	1	1
467_15841_4_75	83110	2188201	1	1
194_17175_8_36	174720	2065794	2	2
264_6259_5_2	118100	2112477	11	10
36_21903_8_179	68203	2097811	1	1
469_15873_1_34	79562	2058367	1	1
350_12291_1_13	69072	2062379	1	1
538_18456_1_52	80870	2113954	1	1
405_6823_4_8	115318	2092195	2	2
398_6259_7_19	86503	1927486	4	4
604_6259_7_15	107454	2133402	2	1
580_22114_6_56	91963	2095837	2	0
397_7622_2_47	75869	2001836	5	5
511_17138_5_49	109910	2071468	4	4
28_6840_3_5	84260	2065882	4	4
376_16288_6_47	103143	2016549	5	5
188_6807_3_17	88201	2087625	1	1
22_19183_3_93	82886	2064452	1	1
503_16453_2_55	73711	2077427	1	1
148_15378_4_35	116910	2092536	11	11
492_16288_7_55	88229	2057303	1	1
601_6999_4_13	91325	2030382	1	1
595_11861_2_71	87005	2036176	0	0
591_11860_5_19	76358	2089197	0	0
81_17150_4_6	97286	2122610	10	10
133_13470_1_77	93718	2161562	2	2
573_21127_2_26	79924	2087971	3	3
190_15378_3_12	89865	2195495	2	2
497_16288_8_23	107301	2045750	3	3
608_6730_7_17	84754	2072010	2	2
404_6755_2_5	92955	2033753	5	5
24_14936_4_78	78340	2112040	0	0
79_13470_1_16	86597	2060698	1	1
579_9789_3_70	70929	2095870	3	3
102_15874_1_45	77961	2028102	0	0
487_16288_6_23	115463	2089675	0	0
351_12291_1_62	77475	2067868	1	1
97_11657_2_78	106127	2092386	0	0
550_19183_3_6	80774	2089809	3	3
486_16288_6_22	102679	2020505	0	0
138_7011_3_5	76689	2086590	1	1
319_6938_7_6	90512	2001102	3	2
185_22027_1_119	73716	2140039	5	5
181_12378_2_50	80300	2149267	1	1
336_20925_3_10	65965	1971571	1	1
103_17428_8_127	82714	2090151	3	3
401_6631_3_12	96358	2123565	2	2
281_9789_4_37	74076	2076087	0	0
562_20925_3_53	93128	2077205	0	0
214_6641_6_17	107137	2092756	6	6
329_15731_8_86	92677	2121848	1	1
616_6841_7_2	96945	1971419	11	9
520_17794_8_37	72775	2034544	2	2
517_17794_7_27	105065	2025145	6	6
442_14520_6_33	78875	2144257	1	1
180_7004_7_62	83560	2142801	0	0
504_17059_7_81	74836	2076048	0	0
187_6673_8_22	72637	2000971	1	1
225_16288_7_69	107661	2020737	0	0
216_9716_7_4	103867	2142085	0	0
339_18090_2_74	96107	1994474	1	1
87_6753_4_20	113274	2071120	2	2
458_14913_7_88	99133	2133236	2	2
163_15378_3_73	90343	2063904	3	3
248_6259_5_7	74543	2149315	2	2
40_6736_5_15	80142	2051176	1	1
270_12837_1_65	84883	2099693	1	1
86_15378_4_11	91384	2015878	8	8
251_12290_3_24	100554	2105165	6	6
