scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_000154285.1_ASM15428v1_genomic	4570	655363	64	30
GCF_016902345.1_ASM1690234v1_genomic	2651	309562	12	9
GCF_000742135.1_ASM74213v1_genomic	5544548	5545784	6567	2078
GCF_000020225.1_ASM2022v1_genomic	2662847	2664102	277	252
GCF_000160055.1_ASM16005v1_genomic	7081	1895960	294	88
GCF_003641185.1_ASM364118v1_genomic	21463	3671373	535	109
GCF_029023785.1_ASM2902378v1_genomic	24743	2672229	359	67
GCF_002234575.2_ASM223457v2_genomic	2595828	6570176	99770	92350
GCF_025147485.1_ASM2514748v1_genomic	0	4629452	0	0
GCF_028539415.1_ASM2853941v1_genomic	0	5489	0	0
GCF_025151215.1_ASM2515121v1_genomic	0	4377447	0	0
