# simulation command: /data1/gerryt/tracs/scripts/tracs-sim.py -t 5 --genomes ./gtdb_rep_references/GCF_000020225.1_ASM2022v1_genomic.fna ./gtdb_rep_references/GCF_000154285.1_ASM15428v1_genomic.fna ./gtdb_rep_references/GCF_000160055.1_ASM16005v1_genomic.fna ./gtdb_rep_references/GCF_000742135.1_ASM74213v1_genomic.fna ./gtdb_rep_references/GCF_002234575.2_ASM223457v2_genomic.fna ./gtdb_rep_references/GCF_003641185.1_ASM364118v1_genomic.fna ./gtdb_rep_references/GCF_016902345.1_ASM1690234v1_genomic.fna ./gtdb_rep_references/GCF_025147485.1_ASM2514748v1_genomic.fna ./gtdb_rep_references/GCF_025151215.1_ASM2515121v1_genomic.fna ./gtdb_rep_references/GCF_028539415.1_ASM2853941v1_genomic.fna ./gtdb_rep_references/GCF_029023785.1_ASM2902378v1_genomic.fna --tran-genome ./gtdb_rep_references/GCF_000020225.1_ASM2022v1_genomic.fna -d 50 -b 10000 -n 5 -o sim_d50_ref_GCF_000020225.1_ASM2022v1_genomic --prefix sim_d50_ref_GCF_000020225.1_ASM2022v1_genomic
genome,propA,propB,distance
GCF_000020225.1_ASM2022v1_genomic,0.16849183355514746,0.06471118964833855,50
GCF_000154285.1_ASM15428v1_genomic,0.0,0.5778858046320421,9970
GCF_000160055.1_ASM16005v1_genomic,0.0,0.0,10041
GCF_000742135.1_ASM74213v1_genomic,0.3127090675837156,0.0,9953
GCF_002234575.2_ASM223457v2_genomic,0.012784815762505255,0.0,10119
GCF_003641185.1_ASM364118v1_genomic,0.0,0.03811034165850591,9903
GCF_016902345.1_ASM1690234v1_genomic,0.07626427496831131,0.0,9898
GCF_025147485.1_ASM2514748v1_genomic,0.07775921400249321,0.0,10047
GCF_025151215.1_ASM2515121v1_genomic,0.22784232871562737,0.09371586893129245,9875
GCF_028539415.1_ASM2853941v1_genomic,0.04543196475698329,0.03173360904693936,10066
GCF_029023785.1_ASM2902378v1_genomic,0.07871650065521649,0.19384318608288165,9864
