# simulation command: /data1/gerryt/tracs/scripts/tracs-sim.py -t 5 --genomes ./gtdb_rep_references/GCF_000020225.1_ASM2022v1_genomic.fna ./gtdb_rep_references/GCF_000154285.1_ASM15428v1_genomic.fna ./gtdb_rep_references/GCF_000160055.1_ASM16005v1_genomic.fna ./gtdb_rep_references/GCF_000742135.1_ASM74213v1_genomic.fna ./gtdb_rep_references/GCF_002234575.2_ASM223457v2_genomic.fna ./gtdb_rep_references/GCF_003641185.1_ASM364118v1_genomic.fna ./gtdb_rep_references/GCF_016902345.1_ASM1690234v1_genomic.fna ./gtdb_rep_references/GCF_025147485.1_ASM2514748v1_genomic.fna ./gtdb_rep_references/GCF_025151215.1_ASM2515121v1_genomic.fna ./gtdb_rep_references/GCF_028539415.1_ASM2853941v1_genomic.fna ./gtdb_rep_references/GCF_029023785.1_ASM2902378v1_genomic.fna --tran-genome ./gtdb_rep_references/GCF_028539415.1_ASM2853941v1_genomic.fna -d 500 -b 10000 -n 5 -o sim_d500_ref_GCF_028539415.1_ASM2853941v1_genomic --prefix sim_d500_ref_GCF_028539415.1_ASM2853941v1_genomic
genome,propA,propB,distance
GCF_000020225.1_ASM2022v1_genomic,0.44584424840346054,0.0,9968
GCF_000154285.1_ASM15428v1_genomic,0.0,0.32944405438221014,10105
GCF_000160055.1_ASM16005v1_genomic,0.03625162404089428,0.0,10054
GCF_000742135.1_ASM74213v1_genomic,0.0,0.20755294867065954,9962
GCF_002234575.2_ASM223457v2_genomic,0.0543341923167871,0.0,10086
GCF_003641185.1_ASM364118v1_genomic,0.08089433911127983,0.0,10059
GCF_016902345.1_ASM1690234v1_genomic,0.10178450829548348,0.0,9878
GCF_025147485.1_ASM2514748v1_genomic,0.0,0.0,10018
GCF_025151215.1_ASM2515121v1_genomic,0.0737861429004787,0.0,9899
GCF_028539415.1_ASM2853941v1_genomic,0.1256681131703996,0.12034599338698734,500
GCF_029023785.1_ASM2902378v1_genomic,0.08143683176121656,0.3426570035601429,10015
