scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	82280	3169492	2199	2093
GCF_002234575.2_ASM223457v2_genomic	6613896	6614036	110	25
GCF_000154285.1_ASM15428v1_genomic	13182	655363	70	34
GCF_000020225.1_ASM2022v1_genomic	56	2664102	2	2
GCF_000742135.1_ASM74213v1_genomic	4083448	5529453	137426	125499
GCF_003641185.1_ASM364118v1_genomic	164430	3671373	1132	888
GCF_025147485.1_ASM2514748v1_genomic	72	4629452	1	1
GCF_025151215.1_ASM2515121v1_genomic	5713	4377447	91	89
GCF_029023785.1_ASM2902378v1_genomic	2469336	2672229	11399	10269
GCF_000160055.1_ASM16005v1_genomic	535285	1895960	2243	1795
GCF_028539415.1_ASM2853941v1_genomic	0	5489	0	0
