scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_028539415.1_ASM2853941v1_genomic	6665559	6778473	5116	5003
GCF_016902345.1_ASM1690234v1_genomic	3784258	3787014	5327	5002
GCF_000020225.1_ASM2022v1_genomic	147	2664102	2	2
GCF_029023785.1_ASM2902378v1_genomic	23478	2672229	347	25
GCF_002234575.2_ASM223457v2_genomic	5790	6570176	22	13
GCF_025151215.1_ASM2515121v1_genomic	5713	4377447	91	88
GCF_000154285.1_ASM15428v1_genomic	21427	655363	78	43
GCF_003641185.1_ASM364118v1_genomic	164429	3671373	1190	879
GCF_000742135.1_ASM74213v1_genomic	285448	5529453	4261	649
GCF_025147485.1_ASM2514748v1_genomic	21273	4629452	656	608
GCF_000160055.1_ASM16005v1_genomic	1894736	1895960	493	226
