scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_028539415.1_ASM2853941v1_genomic	5118	2790727	154	149
GCF_000742135.1_ASM74213v1_genomic	5396077	5545784	139916	19348
GCF_000154285.1_ASM15428v1_genomic	2157	655363	60	26
GCF_000020225.1_ASM2022v1_genomic	1022	2664102	35	34
GCF_016902345.1_ASM1690234v1_genomic	545	306753	13	7
GCF_029023785.1_ASM2902378v1_genomic	24743	2672229	352	33
GCF_002234575.2_ASM223457v2_genomic	3581	6570176	119	111
GCF_003641185.1_ASM364118v1_genomic	21507	3671373	536	109
GCF_025147485.1_ASM2514748v1_genomic	4629437	4629452	24	24
GCF_025151215.1_ASM2515121v1_genomic	63287	4377447	0	0
GCF_000160055.1_ASM16005v1_genomic	535630	1895960	2207	1790
