scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	2272	368649	44	36
GCF_028539415.1_ASM2853941v1_genomic	20351	5252029	646	321
GCF_000154285.1_ASM15428v1_genomic	10144	1757187	309	240
GCF_000020225.1_ASM2022v1_genomic	1022	2664102	36	28
GCF_029023785.1_ASM2902378v1_genomic	23514	2672229	359	21
GCF_000160055.1_ASM16005v1_genomic	7400	1895960	224	23
GCF_000742135.1_ASM74213v1_genomic	271126	5529453	6469	2382
GCF_003641185.1_ASM364118v1_genomic	21526	3671373	564	109
GCF_025151215.1_ASM2515121v1_genomic	3515079	4377447	5496	4876
GCF_002234575.2_ASM223457v2_genomic	4669938	6570176	9881	8391
GCF_025147485.1_ASM2514748v1_genomic	3503236	4629452	7211	6251
