scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	875	455310	18	15
GCF_000154285.1_ASM15428v1_genomic	1837295	2179988	5999	5906
GCF_028539415.1_ASM2853941v1_genomic	6185	3738402	298	288
GCF_000020225.1_ASM2022v1_genomic	147	2664102	6	3
GCF_000742135.1_ASM74213v1_genomic	277505	5529453	7062	2471
GCF_002234575.2_ASM223457v2_genomic	7058	6570176	228	176
GCF_025147485.1_ASM2514748v1_genomic	29709	4629452	348	321
GCF_003641185.1_ASM364118v1_genomic	22526	3671373	534	113
GCF_029023785.1_ASM2902378v1_genomic	1787746	2672229	47022	46027
GCF_000160055.1_ASM16005v1_genomic	471678	1895960	6384	5990
GCF_025151215.1_ASM2515121v1_genomic	2949484	4377447	20862	20662
