# simulation command: /data1/gerryt/tracs/scripts/tracs-sim.py -t 5 --genomes ./refs_97/GCA_949101625.1_gtdbrep_GCF_000020225.1_ani94.58.fna ./refs_97/GCF_002850015.1_gtdbrep_GCF_003641185.1_ani97.74.fna ./refs_97/GCF_003320195.1_gtdbrep_GCF_029023785.1_ani95.19.fna ./refs_97/GCF_020537595.1_gtdbrep_GCF_000154285.1_ani98.73.fna ./refs_97/GCF_020564385.1_gtdbrep_GCF_000160055.1_ani97.94.fna ./refs_97/GCF_023008325.1_gtdbrep_GCF_002234575.2_ani97.26.fna ./refs_97/GCF_023668095.1_gtdbrep_GCF_025147485.1_ani98.16.fna ./refs_97/GCF_027687875.1_gtdbrep_GCF_028539415.1_ani98.09.fna ./refs_97/GCF_027692925.1_gtdbrep_GCF_025151215.1_ani97.57.fna ./refs_97/GCF_904863055.1_gtdbrep_GCF_000742135.1_ani95.81.fna --tran-genome ./refs_97/GCF_003320195.1_gtdbrep_GCF_029023785.1_ani95.19.fna -d 5 -b 10000 -n 5 -o ./sim_97/sim_d5_ref_GCF_003320195.1_gtdbrep_GCF_029023785.1_ani95.19 --prefix sim_d5_ref_GCF_003320195.1_gtdbrep_GCF_029023785.1_ani95.19
genome,propA,propB,distance
GCA_949101625.1_gtdbrep_GCF_000020225.1_ani94.58,0.0,0.22640989087799948,10019
GCF_002850015.1_gtdbrep_GCF_003641185.1_ani97.74,0.0,0.007628598519084814,10106
GCF_003320195.1_gtdbrep_GCF_029023785.1_ani95.19,0.036552305045092257,0.22436622483625435,5
GCF_020537595.1_gtdbrep_GCF_000154285.1_ani98.73,0.0,0.2671417645393689,9927
GCF_020564385.1_gtdbrep_GCF_000160055.1_ani97.94,0.0,0.1940128019863046,10196
GCF_023008325.1_gtdbrep_GCF_002234575.2_ani97.26,0.0,0.0,9976
GCF_023668095.1_gtdbrep_GCF_025147485.1_ani98.16,0.0,0.0,9974
GCF_027687875.1_gtdbrep_GCF_028539415.1_ani98.09,0.9634476949549078,0.0017159359723642614,9952
GCF_027692925.1_gtdbrep_GCF_025151215.1_ani97.57,0.0,0.0,9959
GCF_904863055.1_gtdbrep_GCF_000742135.1_ani95.81,0.0,0.07872478326862352,10032
