scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_028539415.1_ASM2853941v1_genomic	97	1341923	6	6
GCF_016902345.1_ASM1690234v1_genomic	766	338502	24	20
GCF_000160055.1_ASM16005v1_genomic	7418	1895960	281	29
GCF_000742135.1_ASM74213v1_genomic	3681622	5529453	69146	58971
GCF_000154285.1_ASM15428v1_genomic	2876	691831	45	8
GCF_003641185.1_ASM364118v1_genomic	3069347	3671373	5707	5312
GCF_000020225.1_ASM2022v1_genomic	1596918	2664102	13275	13198
GCF_025151215.1_ASM2515121v1_genomic	5393	4377447	89	84
GCF_002234575.2_ASM223457v2_genomic	4496	6570176	128	120
GCF_025147485.1_ASM2514748v1_genomic	3092	4629452	137	81
GCF_029023785.1_ASM2902378v1_genomic	1859293	2672229	54375	53299
