scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME113322_22	4046	44366	38	38
GUT_GENOME000655_9	55049	251800	154	138
GUT_GENOME000655_19	18383	79590	71	70
GUT_GENOME000655_20	15265	69428	64	60
GUT_GENOME113322_36	5371	18619	24	24
GUT_GENOME000192_16	4919	6942	7	5
GUT_GENOME113322_19	17435	50179	135	135
GUT_GENOME115272_2	82292	362532	485	477
GUT_GENOME000655_17	8944	118732	46	46
GUT_GENOME113322_9	18760	76345	218	216
GUT_GENOME113322_26	8344	40975	69	69
GUT_GENOME113322_1	29619	353936	261	260
GUT_GENOME000655_24	185	20657	7	7
GUT_GENOME000192_15	836	12177	2	2
GUT_GENOME115272_16	14583	63625	113	109
GUT_GENOME113322_13	1634	57013	18	18
GUT_GENOME115272_17	7199	54936	49	49
GUT_GENOME147598_3	4995	50051	10	7
GUT_GENOME147598_4	37315	113639	125	120
GUT_GENOME113322_37	1905	17629	20	20
GUT_GENOME000655_13	18718	155482	84	76
GUT_GENOME000655_38	309	333	10	0
GUT_GENOME000655_29	753	4259	7	7
GUT_GENOME115272_12	21396	80061	183	180
GUT_GENOME000655_6	40686	285921	179	170
GUT_GENOME115272_9	6862	98341	61	58
GUT_GENOME000192_11	38121	58259	106	106
GUT_GENOME115272_1	139757	431465	1040	1001
GUT_GENOME000655_3	109958	431869	364	334
GUT_GENOME000655_12	27100	178640	144	140
GUT_GENOME115272_18	7385	35835	48	48
GUT_GENOME113322_32	4720	27991	52	52
GUT_GENOME000655_25	4086	14646	22	15
GUT_GENOME000655_7	88438	269567	136	130
GUT_GENOME113322_20	6297	49595	54	51
GUT_GENOME000655_1	139918	486372	391	374
GUT_GENOME113322_8	11081	78945	167	167
GUT_GENOME000655_35	58	416	0	0
GUT_GENOME115272_15	9619	65410	105	105
GUT_GENOME000655_21	6178	63560	76	76
GUT_GENOME113322_5	16487	92069	136	135
GUT_GENOME113322_27	1183	39917	10	10
GUT_GENOME113322_14	9250	55283	84	81
GUT_GENOME113322_7	8971	81081	112	112
GUT_GENOME000192_7	137004	301546	180	167
GUT_GENOME113322_10	6785	65167	67	67
GUT_GENOME113322_18	4566	51068	25	25
GUT_GENOME000655_36	142	390	0	0
GUT_GENOME115272_3	56318	321064	370	370
GUT_GENOME115272_11	20071	85582	159	156
GUT_GENOME113322_33	3669	22781	28	28
GUT_GENOME000655_2	101599	466434	291	274
GUT_GENOME113322_15	8729	55199	102	102
GUT_GENOME113322_39	1007	9206	6	6
GUT_GENOME000655_16	26225	142305	68	62
GUT_GENOME115272_13	29427	72250	222	221
GUT_GENOME113322_21	9908	47945	54	52
GUT_GENOME000192_17	3113	4216	5	5
GUT_GENOME115272_14	9170	66658	80	80
GUT_GENOME147598_2	883	13841	1	1
GUT_GENOME113322_6	9908	91107	86	86
GUT_GENOME000655_26	332	12966	1	1
GUT_GENOME113322_11	11667	62986	137	137
GUT_GENOME113322_12	5337	57854	48	48
GUT_GENOME113322_35	272	19365	0	0
GUT_GENOME000655_4	132206	422611	269	261
GUT_GENOME000655_10	69331	207448	228	214
GUT_GENOME115272_5	46677	195239	394	394
GUT_GENOME000655_23	1626	24600	15	15
GUT_GENOME115272_6	49916	190909	409	407
GUT_GENOME000655_8	34389	267670	186	180
GUT_GENOME115272_10	28698	90593	197	189
GUT_GENOME000655_18	4682	85383	37	37
GUT_GENOME113322_16	2083	54309	31	31
GUT_GENOME113322_42	223	4732	5	5
GUT_GENOME000655_34	376	419	0	0
GUT_GENOME000192_14	20128	25980	32	26
GUT_GENOME113322_28	970	39229	8	8
GUT_GENOME000192_5	294263	385774	345	296
GUT_GENOME000192_4	398136	478658	341	292
GUT_GENOME000655_5	66499	303016	196	166
GUT_GENOME113322_23	655	44224	10	10
GUT_GENOME000655_22	2776	31149	33	31
GUT_GENOME113322_31	2710	32696	24	24
GUT_GENOME113322_38	0	16790	0	0
GUT_GENOME000655_15	20722	149952	191	170
GUT_GENOME113322_2	21840	257254	201	198
GUT_GENOME113322_3	27118	185327	268	268
GUT_GENOME000655_14	31201	154514	149	143
GUT_GENOME113322_24	6337	41887	46	46
GUT_GENOME000192_19	382	426	3	1
GUT_GENOME113322_30	5958	37712	55	55
GUT_GENOME000192_12	32670	43922	61	55
GUT_GENOME000192_13	11335	32798	5	5
GUT_GENOME115272_8	27546	108480	176	176
GUT_GENOME113322_4	6948	103327	62	54
GUT_GENOME113322_29	3623	38986	43	43
GUT_GENOME113322_34	1707	21050	14	14
GUT_GENOME113322_25	4004	41625	56	51
GUT_GENOME113322_17	1177	51677	7	7
GUT_GENOME147598_1	5078172	5306618	9483	9260
GUT_GENOME143211_1	2111896	2762447	9887	9674
GUT_GENOME115272_4	63756	313939	416	410
GUT_GENOME000655_11	57797	203470	140	125
GUT_GENOME115272_7	13203	122753	126	126
GUT_GENOME000192_3	413992	533644	529	462
