scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME258044_21	2633	11155	34	31
GUT_GENOME258044_3	124302	144198	232	162
GUT_GENOME258044_5	91936	129040	201	165
GUT_GENOME258044_6	83442	118817	295	230
GUT_GENOME258044_7	98250	113133	143	113
GUT_GENOME258044_4	97207	138539	229	179
GUT_GENOME258044_15	19344	29283	50	29
GUT_GENOME258044_12	42164	46091	87	68
GUT_GENOME258044_20	15038	15809	25	22
GUT_GENOME258044_11	46183	51158	78	66
GUT_GENOME258044_1	327389	329668	155	128
GUT_GENOME258044_23	5640	7058	20	16
GUT_GENOME258044_13	34241	34948	58	52
GUT_GENOME258044_17	15627	25612	58	35
GUT_GENOME258044_19	11553	22595	20	17
GUT_GENOME258044_22	9696	10035	3	0
GUT_GENOME258044_10	54531	58936	105	72
GUT_GENOME258044_18	11095	24602	13	7
GUT_GENOME258044_9	54663	60208	35	24
GUT_GENOME258044_8	62217	62614	21	21
GUT_GENOME258044_16	26011	26180	25	22
GUT_GENOME258044_14	29480	29854	20	8
GUT_GENOME258044_2	259428	272117	208	173
