scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME000192_19	412	426	7	7
GUT_GENOME225144_551	1072	1215	0	0
GUT_GENOME140713_6	32429	70999	22	21
GUT_GENOME140713_4	32423	548278	64	52
GUT_GENOME000192_16	4920	6942	14	13
GUT_GENOME115210_75	11160	17729	36	33
GUT_GENOME140713_9	3349	38454	0	0
GUT_GENOME225144_118	1180	3698	7	7
GUT_GENOME140713_22	432	573	0	0
GUT_GENOME225144_127	1041	1092	3	3
GUT_GENOME225144_1223	2332	2427	10	10
GUT_GENOME225144_399	725	1195	3	3
GUT_GENOME140713_18	2274	66672	2	2
GUT_GENOME225144_1204	1147	1184	7	7
GUT_GENOME000192_15	929	12177	15	13
GUT_GENOME140713_16	0	2735	0	0
GUT_GENOME225144_92	1280	1405	0	0
GUT_GENOME225144_806	2507	2596	17	17
GUT_GENOME141586_3	3165	88119	4	2
GUT_GENOME225144_1233	1154	1294	1	1
GUT_GENOME140713_17	200	1612	1	0
GUT_GENOME000655_23	1675	24600	28	28
GUT_GENOME225144_933	805	1296	6	5
GUT_GENOME225144_755	1827	1918	2	2
GUT_GENOME225144_448	911	3547	16	16
GUT_GENOME225144_1119	875	1109	3	3
GUT_GENOME140713_2	8572	123450	62	53
GUT_GENOME225144_3	963	1057	0	0
GUT_GENOME225144_780	891	1068	0	0
GUT_GENOME000655_11	59911	203470	255	232
GUT_GENOME000655_8	34898	267670	255	247
GUT_GENOME225144_720	842	1056	2	2
GUT_GENOME225144_195	914	1239	1	1
GUT_GENOME141586_2	35359	201446	40	19
GUT_GENOME225144_549	321	1944	1	1
GUT_GENOME225144_67	2014	2183	7	7
GUT_GENOME225144_818	1102	1541	18	18
GUT_GENOME000655_38	288	333	9	0
GUT_GENOME225144_901	925	2222	3	3
GUT_GENOME000192_4	399511	478658	1110	1032
GUT_GENOME225144_1043	1160	1524	2	2
GUT_GENOME000192_17	3202	4216	17	16
GUT_GENOME225144_62	825	1298	1	1
GUT_GENOME225144_103	679	1072	1	1
GUT_GENOME225144_584	164	1285	7	7
GUT_GENOME225144_1242	1450	1550	2	2
GUT_GENOME225144_998	1412	1419	14	0
GUT_GENOME000192_12	32832	43922	104	98
GUT_GENOME000655_15	20766	149952	233	207
GUT_GENOME140713_5	60443	404527	72	50
GUT_GENOME000192_11	38176	58259	157	157
GUT_GENOME225144_287	889	1074	6	5
GUT_GENOME225144_979	1413	1442	0	0
GUT_GENOME225144_165	571	1807	4	4
GUT_GENOME225144_1328	1057	2208	9	9
GUT_GENOME225144_1163	521	1509	2	2
GUT_GENOME225144_1231	652	1018	3	3
GUT_GENOME000655_29	880	4259	20	20
GUT_GENOME225144_240	1691	2089	3	3
GUT_GENOME000655_6	39868	285921	249	245
GUT_GENOME000655_3	111236	431869	549	508
GUT_GENOME000655_26	371	12966	3	3
GUT_GENOME000655_1	141562	486372	635	608
GUT_GENOME140713_12	726	3631	0	0
GUT_GENOME225144_1037	200	1660	14	9
GUT_GENOME225144_639	1028	1090	2	2
GUT_GENOME225144_844	939	1145	2	2
GUT_GENOME140713_21	256	509	0	0
GUT_GENOME225144_1062	2452	3178	4	4
GUT_GENOME000192_5	294518	385774	883	817
GUT_GENOME000655_2	102247	466434	442	426
GUT_GENOME225144_414	246	1096	4	4
GUT_GENOME225144_87	537	1168	3	1
GUT_GENOME225144_1183	1527	1606	3	3
GUT_GENOME140713_11	4742	27713	0	0
GUT_GENOME225144_256	2723	2850	1	0
GUT_GENOME140713_8	10853	284549	8	8
GUT_GENOME225144_44	862	1415	10	10
GUT_GENOME225144_456	1254	1502	3	3
GUT_GENOME000655_14	31477	154514	169	163
GUT_GENOME000655_5	66727	303016	305	270
GUT_GENOME000655_19	18968	79590	115	114
GUT_GENOME000655_9	54899	251800	278	251
GUT_GENOME000655_12	27575	178640	187	185
GUT_GENOME140713_3	95126	771693	328	317
GUT_GENOME000655_10	70018	207448	351	328
GUT_GENOME225144_1152	320	1072	1	1
