scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME140713_12	727	3631	0	0
GUT_GENOME258044_19	11584	22595	20	18
GUT_GENOME141586_4	8900	26801	38	30
GUT_GENOME258044_14	29474	29854	8	2
GUT_GENOME258044_12	42324	46091	42	22
GUT_GENOME140713_13	4734	76031	8	3
GUT_GENOME140713_2	8458	123450	108	101
GUT_GENOME140713_9	3310	38454	3	2
GUT_GENOME140713_7	2746	65288	14	14
GUT_GENOME258044_6	83919	118817	188	152
GUT_GENOME140713_5	60160	404527	256	234
GUT_GENOME258044_7	98310	113133	102	80
GUT_GENOME141586_2	34837	201446	143	86
GUT_GENOME258044_13	34256	34948	40	34
GUT_GENOME258044_5	92352	129040	114	83
GUT_GENOME258044_3	124318	144198	161	112
GUT_GENOME258044_4	97381	138539	159	117
GUT_GENOME140713_3	93523	771693	652	643
GUT_GENOME258044_2	259579	272117	80	61
GUT_GENOME258044_18	11085	24602	4	2
GUT_GENOME258044_10	54578	58936	67	42
GUT_GENOME140713_15	3297	66920	29	24
GUT_GENOME258044_1	327368	329668	51	36
GUT_GENOME258044_20	15105	15809	11	8
GUT_GENOME140713_4	31797	548278	139	126
GUT_GENOME140713_22	434	573	0	0
GUT_GENOME140713_17	226	1612	0	0
GUT_GENOME258044_17	15759	25612	41	28
GUT_GENOME140713_18	1704	66672	7	2
GUT_GENOME140713_10	11138	157943	24	20
GUT_GENOME258044_8	62220	62614	17	16
GUT_GENOME140713_21	257	509	0	0
GUT_GENOME258044_22	9710	10035	3	0
GUT_GENOME140713_6	32590	70999	157	151
GUT_GENOME258044_21	2578	11155	25	23
GUT_GENOME140713_8	11163	284549	27	24
GUT_GENOME140713_11	4896	27713	3	2
GUT_GENOME141586_3	3236	88119	15	13
GUT_GENOME258044_15	19647	29283	37	25
GUT_GENOME140713_19	5898	99763	15	14
GUT_GENOME258044_11	46274	51158	46	27
GUT_GENOME140713_1	6641	95217	33	29
GUT_GENOME258044_9	54757	60208	10	5
GUT_GENOME258044_23	5643	7058	25	18
GUT_GENOME258044_16	26037	26180	19	16
GUT_GENOME140713_20	2940	78202	12	8
GUT_GENOME141586_1	2430505	2817790	8937	8420
