scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GUT_GENOME225144_193	996	1138	3	3
GUT_GENOME251721_150	240	6552	2	2
GUT_GENOME225144_818	1169	1541	7	7
GUT_GENOME096485_29	547	547	4	0
GUT_GENOME000192_12	33059	43922	96	89
GUT_GENOME225144_73	1109	1462	0	0
GUT_GENOME122359_11	4994	123066	29	29
GUT_GENOME122359_26	9613	69841	21	21
GUT_GENOME251721_71	1885	23493	9	9
GUT_GENOME225144_399	713	1195	4	4
GUT_GENOME258721_26	4587	69207	56	56
GUT_GENOME251721_35	535	43755	1	1
GUT_GENOME258721_10	3949	124808	34	34
GUT_GENOME000655_20	15893	69428	71	70
GUT_GENOME251721_93	304	17242	1	1
GUT_GENOME122359_27	2072	68924	32	32
GUT_GENOME251721_23	5089	55108	38	38
GUT_GENOME251721_97	351	16270	0	0
GUT_GENOME225144_780	878	1068	1	1
GUT_GENOME122359_5	1316	151874	8	8
GUT_GENOME251721_40	41	40055	0	0
GUT_GENOME258721_41	2486	44807	6	6
GUT_GENOME251721_43	1820	38452	14	14
GUT_GENOME122359_17	62	92230	0	0
GUT_GENOME251721_18	1206	64122	16	14
GUT_GENOME251721_68	231	24451	0	0
GUT_GENOME251721_47	473	32503	4	4
GUT_GENOME122359_28	195	66411	2	2
GUT_GENOME251721_77	406	22671	1	1
GUT_GENOME122359_53	90	18271	0	0
GUT_GENOME096485_17	1626	1745	0	0
GUT_GENOME251721_59	865	26717	7	7
GUT_GENOME000192_14	20582	25980	66	57
GUT_GENOME225144_205	1362	1470	5	3
GUT_GENOME258721_47	482	31364	5	5
GUT_GENOME122359_64	1666	3757	8	8
GUT_GENOME122359_31	1065	59384	14	14
GUT_GENOME000655_2	103400	466434	365	350
GUT_GENOME251721_38	811	42356	6	6
GUT_GENOME258721_50	1105	29046	12	12
GUT_GENOME251721_61	1465	26268	11	11
GUT_GENOME000655_22	3201	31149	16	16
GUT_GENOME000655_26	364	12966	0	0
GUT_GENOME225144_256	2846	2850	0	0
GUT_GENOME000655_12	28488	178640	141	138
GUT_GENOME258721_39	202	45593	1	1
