scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	2557	376776	112	99
GCF_028539415.1_ASM2853941v1_genomic	4535	3089404	132	14
GCF_000154285.1_ASM15428v1_genomic	85334	2177774	526	462
GCF_000742135.1_ASM74213v1_genomic	271103	5529453	6475	2387
GCF_000020225.1_ASM2022v1_genomic	171	2664102	1	1
GCF_029023785.1_ASM2902378v1_genomic	23911	2672229	462	29
GCF_000160055.1_ASM16005v1_genomic	7628	1895960	383	93
GCF_002234575.2_ASM223457v2_genomic	14820	6570176	627	413
GCF_025151215.1_ASM2515121v1_genomic	48711	4377447	228	201
GCF_003641185.1_ASM364118v1_genomic	25291	3671373	490	103
GCF_025147485.1_ASM2514748v1_genomic	3916719	4629452	5012	4724
