scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_028539415.1_ASM2853941v1_genomic	5644887	6771615	4907	4833
GCF_000154285.1_ASM15428v1_genomic	1499159	2179988	9991	9742
GCF_016902345.1_ASM1690234v1_genomic	1060	355053	34	31
GCF_000020225.1_ASM2022v1_genomic	56	2664102	2	2
GCF_000742135.1_ASM74213v1_genomic	3895277	5529453	134168	122118
GCF_003641185.1_ASM364118v1_genomic	21507	3671373	536	109
GCF_002234575.2_ASM223457v2_genomic	7537	6570176	290	208
GCF_025147485.1_ASM2514748v1_genomic	46986	4629452	222	93
GCF_025151215.1_ASM2515121v1_genomic	3680	4377447	17	4
GCF_029023785.1_ASM2902378v1_genomic	2372112	2672229	1522	232
GCF_000160055.1_ASM16005v1_genomic	501388	1895960	9119	8649
