scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_016902345.1_ASM1690234v1_genomic	13871	685044	307	159
GCF_000742135.1_ASM74213v1_genomic	4814179	5545784	2791	582
GCF_028539415.1_ASM2853941v1_genomic	3581	2790727	165	144
GCF_000154285.1_ASM15428v1_genomic	16991	1757187	428	237
GCF_003641185.1_ASM364118v1_genomic	21564	3671373	541	92
GCF_000160055.1_ASM16005v1_genomic	7668	1895960	189	38
GCF_000020225.1_ASM2022v1_genomic	1045182	2664102	8926	8894
GCF_029023785.1_ASM2902378v1_genomic	23807	2672229	347	25
GCF_025151215.1_ASM2515121v1_genomic	3135	4377447	56	48
GCF_025147485.1_ASM2514748v1_genomic	7139	4629452	274	260
GCF_002234575.2_ASM223457v2_genomic	2409366	6570176	104328	97235
