# simulation command: /data1/gerryt/tracs/scripts/tracs-sim.py -t 5 --genomes ./refs_99/GCA_948837315.1_gtdbrep_GCF_000020225.1_ani99.0.fna ./refs_99/GCF_003603955.1_gtdbrep_GCF_025147485.1_ani99.0.fna ./refs_99/GCF_003627295.1_gtdbrep_GCF_003641185.1_ani98.24.fna ./refs_99/GCF_009719865.1_gtdbrep_GCF_025151215.1_ani98.99.fna ./refs_99/GCF_015558345.1_gtdbrep_GCF_002234575.2_ani97.5.fna ./refs_99/GCF_015559735.1_gtdbrep_GCF_028539415.1_ani98.86.fna ./refs_99/GCF_020537595.1_gtdbrep_GCF_000154285.1_ani98.73.fna ./refs_99/GCF_030067475.1_gtdbrep_GCF_000742135.1_ani99.0.fna ./refs_99/GCF_900180065.1_gtdbrep_GCF_029023785.1_ani99.0.fna ./refs_99/GCF_958455085.1_gtdbrep_GCF_000160055.1_ani98.06.fna --tran-genome ./refs_99/GCA_948837315.1_gtdbrep_GCF_000020225.1_ani99.0.fna -d 5 -b 10000 -n 5 -o ./sim_99/sim_d5_ref_GCA_948837315.1_gtdbrep_GCF_000020225.1_ani99.0 --prefix sim_d5_ref_GCA_948837315.1_gtdbrep_GCF_000020225.1_ani99.0
genome,propA,propB,distance
GCA_948837315.1_gtdbrep_GCF_000020225.1_ani99.0,0.25829350907067145,0.09089444351174433,5
GCF_003603955.1_gtdbrep_GCF_025147485.1_ani99.0,0.5548085927908222,0.0,9871
GCF_003627295.1_gtdbrep_GCF_003641185.1_ani98.24,0.0,0.0,10072
GCF_009719865.1_gtdbrep_GCF_025151215.1_ani98.99,0.0,0.0,10034
GCF_015558345.1_gtdbrep_GCF_002234575.2_ani97.5,0.0,0.0,10060
GCF_015559735.1_gtdbrep_GCF_028539415.1_ani98.86,0.0,0.3426799271192181,10009
GCF_020537595.1_gtdbrep_GCF_000154285.1_ani98.73,0.0,0.02894559141199657,9885
GCF_030067475.1_gtdbrep_GCF_000742135.1_ani99.0,0.0,0.0,10018
GCF_900180065.1_gtdbrep_GCF_029023785.1_ani99.0,0.0,0.537480037957041,9931
GCF_958455085.1_gtdbrep_GCF_000160055.1_ani98.06,0.1868978981385065,0.0,10097
