scaffold	compared_bases_count	length	consensus_SNPs	population_SNPs
GCF_028539415.1_ASM2853941v1_genomic	0	489434	0	0
GCF_016902345.1_ASM1690234v1_genomic	2432	496393	96	50
GCF_000154285.1_ASM15428v1_genomic	11614	1757187	423	316
GCF_029023785.1_ASM2902378v1_genomic	23718	2672229	358	24
GCF_000160055.1_ASM16005v1_genomic	7447	1895960	289	46
GCF_000742135.1_ASM74213v1_genomic	271447	5529453	6490	2399
GCF_025147485.1_ASM2514748v1_genomic	534	4629452	12	9
GCF_003641185.1_ASM364118v1_genomic	143819	3671373	1226	963
GCF_002234575.2_ASM223457v2_genomic	11422	6570176	360	239
GCF_025151215.1_ASM2515121v1_genomic	7603	4377447	182	150
GCF_000020225.1_ASM2022v1_genomic	2488103	2664102	922	856
